Date,Name,Client,Project,Hours,Role,Freelancer,Billable
1/15/2020,Brock Hane,Prohaska - Schiller,implement viral markets,5,Writer,No,No
1/15/2020,Brock Hane,Prohaska - Schiller,transition proactive networks,2,Writer,No,No
1/15/2020,Brock Hane,"Wunsch, Brown and Beer",facilitate transparent ROI,1,Writer,No,Yes
1/15/2020,Kattie Gerlach,Walsh and Sons,integrate value-added blockchains,0.75,Account Manager,No,Yes
1/15/2020,Kattie Gerlach,Walsh and Sons,iterate frictionless e-commerce,0.5,Account Manager,No,Yes
1/15/2020,Edd Hilll,Walsh and Sons,generate collaborative bandwidth,4,Producer,No,Yes
1/15/2020,Edd Hilll,Prohaska - Schiller,transition user-centric interfaces,1,Producer,No,No
1/15/2020,Edd Hilll,Prohaska - Schiller,syndicate global platforms,3,Producer,No,No
1/15/2020,Bernardo Legros,Walsh and Sons,integrate value-added blockchains,8,Designer,No,Yes
1/15/2020,Ottilie Graham,Walsh and Sons,integrate value-added blockchains,8,Designer,No,Yes
1/15/2020,Nelson Frami,Walsh and Sons,iterate frictionless e-commerce,1,Writer,No,Yes
1/15/2020,Napoleon Nolan,"Wunsch, Brown and Beer",facilitate transparent ROI,1,Designer,No,Yes
1/15/2020,Napoleon Nolan,Walsh and Sons,integrate value-added blockchains,5,Designer,No,Yes
1/16/2020,Nelson Frami,Prohaska - Schiller,mesh cutting-edge schemas,8,Writer,No,No
1/16/2020,Phoebe Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,1,Producer,No,Yes
1/16/2020,Phoebe Hilll,Prohaska - Schiller,transition user-centric interfaces,2,Producer,No,No
1/16/2020,Phoebe Hilll,Prohaska - Schiller,transition proactive networks,1,Producer,No,No
1/16/2020,Brock Hane,Prohaska - Schiller,implement viral markets,4.5,Writer,No,No
1/16/2020,Napoleon Nolan,Prohaska - Schiller,monetize vertical convergence,0.5,Designer,No,No
1/16/2020,Napoleon Nolan,Prohaska - Schiller,transition proactive networks,2,Designer,No,No
1/16/2020,Napoleon Nolan,Prohaska - Schiller,synergize holistic initiatives,2,Designer,No,No
1/16/2020,Napoleon Nolan,Prohaska - Schiller,incentivize impactful e-business,0.5,Designer,No,No
1/16/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,0.25,Account Manager,No,Yes
1/16/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,0.25,Account Manager,No,No
1/16/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,1.5,Account Manager,No,No
1/16/2020,Phoebe Hilll,Prohaska - Schiller,synergize back-end interfaces,4,Producer,No,No
1/16/2020,Kattie Gerlach,Walsh and Sons,iterate frictionless e-commerce,3.25,Account Manager,No,Yes
1/16/2020,Kattie Gerlach,Walsh and Sons,integrate value-added blockchains,2.75,Account Manager,No,Yes
1/16/2020,Brock Hane,Walsh and Sons,integrate value-added blockchains,3.5,Writer,No,Yes
1/16/2020,Edd Hilll,Walsh and Sons,generate collaborative bandwidth,4,Producer,No,Yes
1/16/2020,Edd Hilll,Prohaska - Schiller,transition user-centric interfaces,1,Producer,No,No
1/16/2020,Edd Hilll,Prohaska - Schiller,syndicate global platforms,3,Producer,No,No
1/16/2020,Bernardo Legros,Walsh and Sons,integrate value-added blockchains,4,Designer,No,Yes
1/16/2020,Bernardo Legros,Walsh and Sons,generate collaborative bandwidth,5,Designer,No,Yes
1/16/2020,Ottilie Graham,Walsh and Sons,iterate frictionless e-commerce,8,Designer,No,Yes
1/16/2020,Napoleon Nolan,Walsh and Sons,integrate value-added blockchains,3,Designer,No,Yes
1/17/2020,Nelson Frami,"Wunsch, Brown and Beer",facilitate transparent ROI,4,Writer,No,Yes
1/17/2020,Phoebe Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,3,Producer,No,Yes
1/17/2020,Phoebe Hilll,Prohaska - Schiller,transition user-centric interfaces,2,Producer,No,No
1/17/2020,Brock Hane,Prohaska - Schiller,transition proactive networks,1,Writer,No,No
1/17/2020,Brock Hane,Prohaska - Schiller,implement viral markets,1,Writer,No,No
1/17/2020,Napoleon Nolan,Prohaska - Schiller,monetize vertical convergence,0.5,Designer,No,No
1/17/2020,Napoleon Nolan,Prohaska - Schiller,transition proactive networks,1.5,Designer,No,No
1/17/2020,Napoleon Nolan,"Wunsch, Brown and Beer",facilitate transparent ROI,3,Designer,No,Yes
1/17/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,0.25,Account Manager,No,Yes
1/17/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,6.25,Account Manager,No,No
1/17/2020,Kattie Gerlach,Walsh and Sons,integrate value-added blockchains,1.5,Account Manager,No,Yes
1/17/2020,Phoebe Hilll,Prohaska - Schiller,transition proactive networks,1,Producer,No,No
1/17/2020,Phoebe Hilll,Prohaska - Schiller,enhance bricks-and-clicks communities,2,Producer,No,No
1/17/2020,Brock Hane,Walsh and Sons,iterate frictionless e-commerce,6,Writer,No,Yes
1/17/2020,Edd Hilll,Walsh and Sons,generate collaborative bandwidth,4,Producer,No,Yes
1/17/2020,Edd Hilll,Prohaska - Schiller,transition user-centric interfaces,1,Producer,No,No
1/17/2020,Edd Hilll,Prohaska - Schiller,syndicate global platforms,3,Producer,No,No
1/17/2020,Bernardo Legros,Walsh and Sons,generate collaborative bandwidth,7,Designer,No,Yes
1/17/2020,Ottilie Graham,Walsh and Sons,iterate frictionless e-commerce,6,Designer,No,Yes
1/17/2020,Ottilie Graham,"Wunsch, Brown and Beer",facilitate transparent ROI,2,Designer,No,Yes
1/17/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,1,Designer,No,No
1/17/2020,Nelson Frami,Walsh and Sons,iterate frictionless e-commerce,0.5,Writer,No,Yes
1/17/2020,Napoleon Nolan,Walsh and Sons,integrate value-added blockchains,3,Designer,No,Yes
1/20/2020,Kattie Gerlach,Walsh and Sons,iterate frictionless e-commerce,1.75,Account Manager,No,Yes
1/20/2020,Phoebe Hilll,Walsh and Sons,iterate frictionless e-commerce,4,Producer,No,Yes
1/20/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,0.5,Account Manager,No,No
1/20/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,0.5,Account Manager,No,Yes
1/20/2020,Kattie Gerlach,Walsh and Sons,generate collaborative bandwidth,0.25,Account Manager,No,Yes
1/20/2020,Kattie Gerlach,Walsh and Sons,empower dynamic mindshare,0.25,Account Manager,No,Yes
1/20/2020,Kattie Gerlach,Walsh and Sons,integrate value-added blockchains,0.25,Account Manager,No,Yes
1/20/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,4.5,Account Manager,No,No
1/20/2020,Nelson Frami,Prohaska - Schiller,mesh cutting-edge schemas,8,Writer,No,No
1/20/2020,Napoleon Nolan,Prohaska - Schiller,monetize vertical convergence,0.5,Designer,No,No
1/20/2020,Napoleon Nolan,Prohaska - Schiller,transition proactive networks,1.5,Designer,No,No
1/20/2020,Bernardo Legros,Walsh and Sons,generate collaborative bandwidth,8,Designer,No,Yes
1/20/2020,Phoebe Hilll,"Wunsch, Brown and Beer",facilitate transparent ROI,1,Producer,No,Yes
1/20/2020,Phoebe Hilll,Prohaska - Schiller,implement viral markets,1,Producer,No,No
1/20/2020,Phoebe Hilll,Prohaska - Schiller,transition proactive networks,1,Producer,No,No
1/20/2020,Phoebe Hilll,Prohaska - Schiller,transition user-centric interfaces,1,Producer,No,No
1/20/2020,Ottilie Graham,Walsh and Sons,iterate frictionless e-commerce,8,Designer,No,Yes
1/20/2020,Brock Hane,Prohaska - Schiller,implement viral markets,1,Writer,No,No
1/20/2020,Brock Hane,Walsh and Sons,iterate frictionless e-commerce,6,Writer,No,Yes
1/20/2020,Brock Hane,Prohaska - Schiller,transition proactive networks,1,Writer,No,No
1/20/2020,Napoleon Nolan,Walsh and Sons,integrate value-added blockchains,4.5,Designer,No,Yes
1/20/2020,Napoleon Nolan,Prohaska - Schiller,incentivize impactful e-business,1.5,Designer,No,No
1/21/2020,Napoleon Nolan,Prohaska - Schiller,monetize vertical convergence,0.5,Designer,No,No
1/21/2020,Napoleon Nolan,Prohaska - Schiller,transition proactive networks,1,Designer,No,No
1/21/2020,Napoleon Nolan,"Wunsch, Brown and Beer",facilitate transparent ROI,2.5,Designer,No,Yes
1/21/2020,Bernardo Legros,Prohaska - Schiller,mesh cutting-edge schemas,8,Designer,No,No
1/21/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,3.5,Account Manager,No,No
1/21/2020,Kattie Gerlach,"Wunsch, Brown and Beer",facilitate transparent ROI,0.5,Account Manager,No,Yes
1/21/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,3.75,Account Manager,No,No
1/21/2020,Phoebe Hilll,Walsh and Sons,iterate frictionless e-commerce,4,Producer,No,Yes
1/21/2020,Phoebe Hilll,Prohaska - Schiller,transition user-centric interfaces,2,Producer,No,No
1/21/2020,Phoebe Hilll,Prohaska - Schiller,transition proactive networks,1,Producer,No,No
1/21/2020,Phoebe Hilll,Prohaska - Schiller,implement viral markets,1,Producer,No,No
1/21/2020,Ottilie Graham,Walsh and Sons,iterate frictionless e-commerce,8,Designer,No,Yes
1/21/2020,Nelson Frami,"Wunsch, Brown and Beer",facilitate transparent ROI,8,Writer,No,Yes
1/21/2020,Brock Hane,Prohaska - Schiller,implement viral markets,4,Writer,No,No
1/21/2020,Brock Hane,Prohaska - Schiller,transition proactive networks,0.5,Writer,No,No
1/21/2020,Brock Hane,Walsh and Sons,generate collaborative bandwidth,3.5,Writer,No,Yes
1/21/2020,Kattie Gerlach,Walsh and Sons,integrate value-added blockchains,0.25,Account Manager,No,Yes
1/21/2020,Napoleon Nolan,Walsh and Sons,integrate value-added blockchains,1.5,Designer,No,Yes
1/21/2020,Napoleon Nolan,Walsh and Sons,iterate frictionless e-commerce,2,Designer,No,Yes
